epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7305,1.69239,2.84716,1.30799,1,0.92852,0.96399,0.78508,1.53032,2.42231,1.15413,0.000462324,0.000462324,0.000462324
2,93.5286,1.43998,1.18983,1.16036,1,0.93549,0.96765,0.79986,1.46033,1.84621,1.13556,0.000920071,0.000920071,0.000920071
3,126.15,1.41371,1.07736,1.14842,1,0.9025,0.95116,0.782,1.51136,1.98277,1.17282,0.00135896,0.00135896,0.00135896
4,179.989,1.41872,1.0701,1.15753,1,0.91308,0.95626,0.79681,1.44382,1.33012,1.20879,0.00134412,0.00134412,0.00134412
5,242.334,1.3743,1.00094,1.13659,1,0.9456,0.97265,0.80816,1.41255,1.26487,1.17124,0.00131582,0.00131582,0.00131582
6,295.633,1.3559,0.97628,1.13085,1,0.94576,0.97246,0.81368,1.3577,1.01397,1.13351,0.00128753,0.00128753,0.00128753
7,350.175,1.33299,0.95896,1.1247,1,0.94754,0.97341,0.82002,1.35123,0.95941,1.12042,0.00125923,0.00125923,0.00125923
8,408.105,1.31918,0.93708,1.12139,1,0.94916,0.97436,0.81818,1.36285,0.96873,1.12852,0.00123094,0.00123094,0.00123094
9,460.681,1.31496,0.90567,1.11653,1,0.95918,0.97922,0.82669,1.28926,0.9007,1.0813,0.00120265,0.00120265,0.00120265
10,522.85,1.28092,0.87671,1.10105,1,0.944,0.97172,0.81832,1.30935,0.88206,1.10132,0.00117435,0.00117435,0.00117435
11,575.611,1.28151,0.87139,1.09859,1,0.94753,0.97364,0.82215,1.27975,0.8112,1.07982,0.00114606,0.00114606,0.00114606
12,626.284,1.26748,0.85696,1.09956,1,0.94776,0.97357,0.82592,1.25677,0.85442,1.07816,0.00111776,0.00111776,0.00111776
13,680.852,1.25847,0.83361,1.09665,1,0.95249,0.97595,0.83202,1.2333,0.78669,1.07251,0.00108947,0.00108947,0.00108947
14,728.717,1.25437,0.83369,1.08984,0.92545,0.8889,0.95077,0.74891,1.24648,0.79037,1.06576,0.00106118,0.00106118,0.00106118
15,768.533,1.24508,0.8221,1.08853,1,0.95116,0.97536,0.82831,1.21872,0.78727,1.07299,0.00103288,0.00103288,0.00103288
16,806.576,1.23521,0.79869,1.08275,0.92384,0.88624,0.94814,0.75219,1.23009,0.79387,1.06767,0.00100459,0.00100459,0.00100459
17,844.74,1.2225,0.80413,1.07985,0.91241,0.87524,0.95117,0.74962,1.24296,0.79071,1.06994,0.000976293,0.000976293,0.000976293
18,881.399,1.20753,0.79332,1.07625,1,0.95074,0.97501,0.82971,1.21999,0.78621,1.06595,0.000947999,0.000947999,0.000947999
19,919.768,1.21425,0.78571,1.07446,1,0.95415,0.97661,0.83101,1.23444,0.7622,1.068,0.000919704,0.000919704,0.000919704
20,955.899,1.20373,0.78042,1.0755,1,0.94908,0.97423,0.82967,1.21778,0.76133,1.06148,0.00089141,0.00089141,0.00089141
21,993.811,1.21343,0.77957,1.081,1,0.95315,0.97636,0.83368,1.20384,0.72538,1.05396,0.000863116,0.000863116,0.000863116
22,1026.64,1.20052,0.7652,1.06963,0.92406,0.89479,0.95537,0.76168,1.18988,0.71622,1.0481,0.000834822,0.000834822,0.000834822
23,1064.24,1.19332,0.75536,1.06336,0.94185,0.91472,0.95852,0.76692,1.17921,0.71802,1.05136,0.000806528,0.000806528,0.000806528
24,1101.72,1.17824,0.74198,1.06424,1,0.95461,0.97694,0.83481,1.19564,0.73107,1.0602,0.000778233,0.000778233,0.000778233
25,1139.55,1.18212,0.74046,1.06167,0.87854,0.85895,0.89484,0.63927,1.19022,0.70035,1.05291,0.000749939,0.000749939,0.000749939
26,1176.94,1.1765,0.73242,1.06272,0.88767,0.83815,0.88907,0.64022,1.19647,0.71954,1.06052,0.000721645,0.000721645,0.000721645
27,1212.1,1.16528,0.73755,1.06334,0.923,0.88605,0.95573,0.76457,1.16955,0.70184,1.04621,0.000693351,0.000693351,0.000693351
28,1246.18,1.15914,0.72465,1.05292,0.9389,0.909,0.95499,0.76214,1.14782,0.69458,1.03448,0.000665057,0.000665057,0.000665057
29,1281.99,1.15583,0.72144,1.05698,0.93806,0.91028,0.9553,0.76547,1.1596,0.70041,1.04968,0.000636762,0.000636762,0.000636762
30,1317.25,1.13967,0.70711,1.05022,0.89251,0.87273,0.94176,0.75759,1.1676,0.71339,1.04157,0.000608468,0.000608468,0.000608468
31,1357.36,1.14121,0.69541,1.04625,0.88529,0.86429,0.90216,0.64838,1.15779,0.66467,1.03815,0.000580174,0.000580174,0.000580174
32,1392.11,1.14362,0.6984,1.05031,0.85466,0.83953,0.87339,0.57989,1.15707,0.64791,1.03889,0.00055188,0.00055188,0.00055188
33,1425.46,1.14027,0.694,1.04503,0.88688,0.85995,0.89502,0.64578,1.1491,0.66483,1.03443,0.000523586,0.000523586,0.000523586
34,1463.03,1.11508,0.67578,1.03601,0.9517,0.88804,0.95444,0.76955,1.15785,0.6631,1.03421,0.000495291,0.000495291,0.000495291
