epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5579,1.20153,3.47909,1.08718,1,0.88308,0.94123,0.81151,1.23876,2.16519,1.1355,0.0002695,0.0002695,0.0002695
2,138.691,1.26595,1.72282,1.13979,1,0.96031,0.97978,0.84382,1.26979,1.16072,1.14636,0.000536333,0.000536333,0.000536333
3,178.584,1.22546,1.1409,1.11418,0.8022,0.79119,0.85059,0.62122,1.24714,1.01016,1.12322,0.00079217,0.00079217,0.00079217
4,218.425,1.21813,1.0569,1.10842,0.74955,0.77804,0.80486,0.57107,1.23863,1.07875,1.12474,0.00078352,0.00078352,0.00078352
5,253.045,1.205,1.01664,1.09791,0.77686,0.77565,0.83287,0.59049,1.24631,1.00772,1.12562,0.000767026,0.000767026,0.000767026
6,289.039,1.1902,0.99909,1.09178,0.81436,0.78796,0.85833,0.62825,1.27281,0.99481,1.13176,0.000750533,0.000750533,0.000750533
7,319.26,1.18563,0.98736,1.08842,0.79623,0.78406,0.86057,0.642,1.21031,0.93812,1.09878,0.00073404,0.00073404,0.00073404
8,350.201,1.18057,0.96868,1.08204,0.78538,0.80268,0.85156,0.60962,1.19939,0.93289,1.08251,0.000717546,0.000717546,0.000717546
9,384.938,1.17925,0.95675,1.078,0.81296,0.78691,0.83848,0.6001,1.21539,0.94373,1.08595,0.000701053,0.000701053,0.000701053
10,425.027,1.1588,0.93068,1.06321,0.78516,0.81067,0.84617,0.60815,1.19762,0.89038,1.07204,0.000684559,0.000684559,0.000684559
11,459.933,1.14795,0.92288,1.05765,0.79383,0.80588,0.84349,0.6136,1.17841,0.89324,1.06525,0.000668066,0.000668066,0.000668066
12,489.943,1.15648,0.91884,1.06658,0.8531,0.80131,0.86852,0.65534,1.17438,0.88373,1.0684,0.000651573,0.000651573,0.000651573
